IRAS Source: 06226-0905  = IRC-10122  
          7.67360E+00         5.72810E-11
          7.86360E+00         5.57222E-11
          8.04850E+00         5.56528E-11
          8.22860E+00         5.40679E-11
          8.40430E+00         5.31207E-11
          8.57580E+00         5.20951E-11
          8.74360E+00         5.00465E-11
          8.90780E+00         4.67989E-11
          9.06860E+00         4.70478E-11
          9.22620E+00         4.45172E-11
          9.38090E+00         4.14851E-11
          9.53280E+00         3.97150E-11
          9.68200E+00         3.84989E-11
          9.82860E+00         3.87831E-11
          9.97280E+00         3.78320E-11
          1.01148E+01         3.68802E-11
          1.02545E+01         3.60063E-11
          1.03922E+01         3.66934E-11
          1.05279E+01         3.67875E-11
          1.06616E+01         3.77083E-11
          1.07935E+01         3.88625E-11
          1.09237E+01         3.99295E-11
          1.10521E+01         3.99950E-11
          1.11790E+01         3.85746E-11
          1.13042E+01         3.80451E-11
          1.14280E+01         3.63221E-11
          1.15503E+01         3.34815E-11
          1.16711E+01         3.34292E-11
          1.17907E+01         3.26147E-11
          1.19089E+01         2.93308E-11
          1.20258E+01         2.76362E-11
          1.21415E+01         2.73974E-11
          1.22560E+01         2.50534E-11
          1.23693E+01         2.25013E-11
          1.24816E+01         2.18925E-11
          1.25927E+01         1.97193E-11
          1.27028E+01         1.91853E-11
          1.28118E+01         1.98975E-11
          1.29199E+01         1.68277E-11
          1.30269E+01         1.64945E-11
          1.31330E+01         1.70599E-11
          1.32382E+01         1.64933E-11
          1.33425E+01         1.56899E-11
          1.34459E+01         1.75415E-11
-------------------
          1.06020E+01         3.54039E-11
          1.09929E+01         3.59974E-11
          1.13704E+01         3.56286E-11
          1.17357E+01         3.29224E-11
          1.20899E+01         2.79607E-11
          1.24339E+01         2.43825E-11
          1.27687E+01         1.97826E-11
          1.30948E+01         1.72737E-11
          1.34131E+01         1.60089E-11
          1.37239E+01         1.39279E-11
          1.40278E+01         1.33769E-11
          1.43252E+01         1.24016E-11
          1.46166E+01         1.25223E-11
          1.49022E+01         1.25786E-11
          1.51825E+01         1.22858E-11
          1.54576E+01         1.05780E-11
          1.57280E+01         1.09389E-11
          1.59937E+01         1.08518E-11
          1.62551E+01         1.02433E-11
          1.65123E+01         1.01639E-11
          1.67656E+01         9.77952E-12
          1.70151E+01         9.98790E-12
          1.72610E+01         8.98561E-12
          1.75034E+01         8.56329E-12
          1.77425E+01         9.04463E-12
          1.79784E+01         8.69838E-12
          1.82113E+01         7.89380E-12
          1.84412E+01         8.16204E-12
          1.86682E+01         7.46519E-12
          1.88925E+01         7.78530E-12
          1.91142E+01         7.96550E-12
          1.93334E+01         6.65476E-12
          1.95500E+01         7.34255E-12
          1.97643E+01         7.10703E-12
          1.99763E+01         7.42863E-12
          2.01861E+01         7.23072E-12
          2.03937E+01         6.38650E-12
          2.05992E+01         6.10554E-12
          2.08026E+01         6.40610E-12
          2.10041E+01         7.03268E-12
          2.12037E+01         7.37817E-12
          2.14014E+01         6.89176E-12
          2.15973E+01         5.83079E-12
          2.17914E+01         5.60076E-12
          2.19838E+01         5.44995E-12
          2.21745E+01         4.86908E-12
          2.23636E+01         5.78871E-12
          2.25511E+01         5.12851E-12
          2.27371E+01         5.62837E-12

