#IRAS Source: 06226-0905  = IRC-10122
          7.67360E+00         7.30941E-12 0 70
          7.86360E+00         7.38158E-12 0 70
          8.04850E+00         7.46301E-12 0 70
          8.22860E+00         7.21860E-12 0 70
          8.40430E+00         6.99886E-12 0 70
          8.57580E+00         6.72830E-12 0 70
          8.74360E+00         6.31678E-12 0 70
          8.90780E+00         5.76121E-12 0 70
          9.06860E+00         5.64402E-12 0 70
          9.22620E+00         5.20481E-12 0 70
          9.38090E+00         4.72788E-12 0 70
          9.53280E+00         4.41736E-12 0 70
          9.68200E+00         4.18390E-12 0 70
          9.82860E+00         4.11917E-12 0 70
          9.97280E+00         3.93350E-12 0 70
          1.01148E+01         3.75554E-12 0 70
          1.02545E+01         3.59378E-12 0 70
          1.03922E+01         3.59689E-12 0 70
          1.05279E+01         3.54146E-12 0 70
          1.06616E+01         3.57078E-12 0 70
          1.07935E+01         3.62323E-12 0 70
          1.09237E+01         3.67029E-12 0 70
          1.10521E+01         3.62492E-12 0 70
          1.11790E+01         3.45167E-12 0 70
          1.13042E+01         3.36625E-12 0 70
          1.14280E+01         3.17453E-12 0 70
          1.15503E+01         2.89498E-12 0 70
          1.16711E+01         2.86198E-12 0 70
          1.17907E+01         2.76503E-12 0 70
          1.19089E+01         2.46317E-12 0 70
          1.20258E+01         2.29922E-12 0 70
          1.21415E+01         2.25854E-12 0 70
          1.22560E+01         2.04683E-12 0 70
          1.23693E+01         1.82204E-12 0 70
          1.24816E+01         1.75749E-12 0 70
          1.25927E+01         1.56969E-12 0 70
          1.27028E+01         1.51440E-12 0 70
          1.28118E+01         1.55772E-12 0 70
          1.29199E+01         1.30676E-12 0 70
          1.30269E+01         1.27075E-12 0 70
          1.31330E+01         1.30407E-12 0 70
          1.32382E+01         1.25112E-12 0 70
          1.33425E+01         1.18122E-12 0 70
          1.34459E+01         1.31086E-12 0 70
          1.06020E+01         3.37709E-12 0 71
          1.09929E+01         3.28378E-12 0 71
          1.13704E+01         3.13345E-12 0 71
          1.17357E+01         2.80363E-12 0 71
          1.20899E+01         2.31435E-12 0 71
          1.24339E+01         1.96450E-12 0 71
          1.27687E+01         1.55380E-12 0 71
          1.30948E+01         1.32414E-12 0 71
          1.34131E+01         1.19926E-12 0 71
          1.37239E+01         1.02045E-12 0 71
          1.40278E+01         9.59508E-13 0 71
          1.43252E+01         8.71608E-13 0 71
          1.46166E+01         8.63060E-13 0 71
          1.49022E+01         8.50661E-13 0 71
          1.51825E+01         8.15922E-13 0 71
          1.54576E+01         6.90279E-13 0 71
          1.57280E+01         7.01766E-13 0 71
          1.59937E+01         6.84750E-13 0 71
          1.62551E+01         6.36148E-13 0 71
          1.65123E+01         6.21446E-13 0 71
          1.67656E+01         5.89025E-13 0 71
          1.70151E+01         5.92813E-13 0 71
          1.72610E+01         5.25727E-13 0 71
          1.75034E+01         4.94079E-13 0 71
          1.77425E+01         5.14819E-13 0 71
          1.79784E+01         4.88566E-13 0 71
          1.82113E+01         4.37661E-13 0 71
          1.84412E+01         4.46847E-13 0 71
          1.86682E+01         4.03647E-13 0 71
          1.88925E+01         4.15916E-13 0 71
          1.91142E+01         4.20482E-13 0 71
          1.93334E+01         3.47240E-13 0 71
          1.95500E+01         3.78770E-13 0 71
          1.97643E+01         3.62538E-13 0 71
          1.99763E+01         3.74810E-13 0 71
          2.01861E+01         3.60890E-13 0 71
          2.03937E+01         3.15384E-13 0 71
          2.05992E+01         2.98383E-13 0 71
          2.08026E+01         3.09887E-13 0 71
          2.10041E+01         3.36800E-13 0 71
          2.12037E+01         3.49845E-13 0 71
          2.14014E+01         3.23602E-13 0 71
          2.15973E+01         2.71165E-13 0 71
          2.17914E+01         2.58019E-13 0 71
          2.19838E+01         2.48726E-13 0 71
          2.21745E+01         2.20173E-13 0 71
          2.23636E+01         2.59415E-13 0 71
          2.25511E+01         2.27781E-13 0 71
          2.27371E+01         2.47764E-13 0 71
