    Wavelength  Flux
    microns     Jy
    2.3603   -0.1229
    2.3662   -0.0553
    2.3722   -0.0237
    2.3781   -0.0218
    2.3841   -0.0341
    2.3900   -0.0088
    2.3960    0.0405
    2.4020    0.1066
    2.4080    0.1841
    2.4140    0.2164
    2.4201    0.2014
    2.4261    0.1601
    2.4322    0.1177
    2.4383    0.0722
    2.4444    0.0231
    2.4505    0.0293
    2.4567    0.0631
    2.4628    0.1074
    2.4690    0.1440
    2.4752    0.1645
    2.4813    0.1727
    2.4876    0.1616
    2.4938    0.1387
    2.5000    0.0935
    2.5063    0.0585
    2.5126    0.0392
    2.5188    0.0483
    2.5252    0.1169
    2.5315    0.2015
    2.5378    0.2731
    2.5442    0.2907
    2.5505    0.2674
    2.5569    0.2144
    2.5633    0.1358
    2.5697    0.1054
    2.5762    0.0931
    2.5826    0.0884
    2.5891    0.0619
    2.5956    0.0132
    2.6021   -0.0719
    2.6086   -0.1563
    2.6151   -0.2104
    2.6216   -0.2259
    2.6282   -0.2231
    2.6348   -0.2134
    2.6414   -0.2041
    2.6480   -0.1748
    2.6546   -0.1296
    2.6613   -0.0775
    2.6679   -0.0391
    2.6746   -0.0224
    2.6813   -0.0189
    2.6880   -0.0112
    2.6947   -0.0116
    2.7015    0.0041
    2.7082    0.0178
    2.7150    0.0372
    2.7218    0.0523
    2.7286    0.0668
    2.7355    0.0780
    2.7423    0.1022
    2.7492    0.1208
    2.7561    0.1259
    2.7630    0.0991
    2.7699    0.0562
    2.7768    0.0132
    2.7838    0.0287
    2.7907    0.0681
    2.7977    0.1045
    2.8047    0.1447
    2.8117    0.1935
    2.8188    0.2315
    2.8258    0.2343
    2.8329    0.2186
    2.8400    0.1695
    2.8471    0.1130
    2.8542    0.1167
    2.8614    0.1370
    2.8685    0.1647
    2.8757    0.1741
    2.8829    0.1600
    2.8901    0.1269
    2.8974    0.0932
    2.9046    0.0812
    2.9119    0.0773
    2.9192    0.0862
    2.9265    0.0924
    2.9338    0.0949
    2.9412    0.0789
    2.9485    0.0560
    2.9559    0.0451
    2.9633    0.0483
    2.9707    0.0828
    2.9781    0.1099
    2.9856    0.1408
    2.9931    0.1540
    3.0006    0.1567
    3.0081    0.1530
    3.0156    0.1345
    3.0232    0.1059
    3.0307    0.0688
    3.0383    0.0449
    3.0459    0.0276
    3.0535    0.0218
    3.0612    0.0250
    3.0688    0.0267
    3.0765    0.0385
    3.0842    0.0582
    3.0919    0.0691
    3.0997    0.0655
    3.1074    0.0374
    3.1152    0.0036
    3.1230   -0.0160
    3.1308   -0.0060
    3.1387    0.0184
    3.1465    0.0492
    3.1544    0.0659
    3.1623    0.0659
    3.1702    0.0924
    3.1782    0.1178
    3.1861    0.1485
    3.1941    0.1601
    3.2021    0.1631
    3.2101    0.1603
    3.2181    0.1754
    3.2262    0.2173
    3.2343    0.2524
    3.2424    0.3052
    3.2505    0.3859
    3.2586    0.5072
    3.2668    0.6685
    3.2749    0.8244
    3.2831    0.9084
    3.2914    0.9001
    3.2996    0.8076
    3.3079    0.6651
    3.3161    0.5370
    3.3244    0.4505
    3.3328    0.3956
    3.3411    0.3557
    3.3495    0.3163
    3.3579    0.2723
    3.3663    0.2251
    3.3747    0.2105
    3.3831    0.2305
    3.3916    0.2716
    3.4001    0.3128
    3.4086    0.3237
    3.4171    0.2996
    3.4257    0.2505
    3.4343    0.2404
    3.4429    0.2514
    3.4515    0.2675
    3.4601    0.2707
    3.4688    0.2334
    3.4775    0.1958
    3.4862    0.1772
    3.4949    0.1851
    3.5036    0.1924
    3.5124    0.1813
    3.5212    0.1847
    3.5300    0.1863
    3.5388    0.2009
    3.5477    0.2277
    3.5566    0.2405
    3.5655    0.2316
    3.5744    0.2238
    3.5834    0.2299
    3.5923    0.2505
    3.6013    0.2660
    3.6103    0.2801
    3.6194    0.2824
    3.6284    0.2664
    3.6375    0.2770
    3.6466    0.2864
    3.6558    0.2781
    3.6649    0.2565
    3.6741    0.2177
    3.6833    0.2028
    3.6925    0.1947
    3.7017    0.2038
    3.7110    0.2054
    3.7203    0.2008
    3.7296    0.2179
    3.7389    0.2477
    3.7483    0.2740
    3.7577    0.2867
    3.7671    0.2746
    3.7765    0.2513
    3.7860    0.2424
    3.7954    0.2372
    3.8049    0.2443
    3.8145    0.2487
    3.8240    0.2582
    3.8336    0.2694
    3.8432    0.2971
    3.8528    0.3240
    3.8625    0.3342
    3.8721    0.3316
    3.8818    0.3279
    3.8915    0.3347
    3.9013    0.3471
    3.9110    0.3585
    3.9208    0.3330
    3.9306    0.3041
    3.9405    0.2807
    3.9503    0.3020
    3.9602    0.3287
    3.9701    0.3426
    3.9801    0.3400
    3.9900    0.3288
    4.0000    0.3280
    4.0100    0.3551
    4.0201    0.4066
    4.0301    0.4428
    4.0402    0.4519
    4.0503    0.4462
    4.0605    0.4689
    4.0706    0.4624
    4.0808    0.4714
    4.0911    0.4529
    4.1013    0.4308
    4.1116    0.3864
    4.1218    0.3422
    4.1322    0.2894
    4.1425    0.2018
    4.1529    0.1787
    4.1633    0.1647
    4.1737    0.2176
    4.1841    0.2825
    4.1946    0.4569
    4.2051    0.5623
    4.2156    0.5925
    4.2262    0.5401
    4.2368    0.4826
    4.2474    0.3785
    4.2580    0.2524
    4.2687    0.2260
    4.2794    0.2724
    4.2901    0.4428
    4.3008    0.6040
    4.3116    0.7449
    4.3224    0.6922
    4.3332    0.6377
    4.3440    0.7316
    4.3549    0.9965
    4.3658    1.2152
    4.3767    1.3898
    4.3877    1.4128
    4.3987    1.1985
    4.4097    0.9367
    4.4207    0.7662
    4.4318    0.7311
    4.4429    0.7770
    4.4540    0.8168
    4.4651    0.8092
    4.4763    0.7688
    4.4875    0.7499
    4.4988    0.7957
    4.5100    0.8756
    4.5213    0.9238
    4.5326    0.9603
    4.5440    1.0573
    4.5553    1.1649
    4.5668    1.0178
    4.5782    0.9012
    4.5896    0.9158
    4.6011    1.0291
    4.6126    1.0905
    4.6242    1.0243
    4.6358    0.8298
    4.6474    0.6385
    4.6590    0.6030
    4.6707    0.7700
    4.6824    0.9479
    4.6941    1.0108
    4.7058    0.9792
    4.7176    0.8254
    4.7294    0.6057
    4.7413    0.4472
    4.7531    0.4227
    4.7650    0.4734
    4.7769    0.4786
    4.7889    0.5056
    4.8009    0.4036
    4.8129    0.3558
    4.8250    0.4324
    4.8370    0.6182
    4.8491    0.7731
    4.8613    0.9134
    4.8734    0.9351
    4.8856    0.8400
    4.8979    0.7488
    4.9101    0.6762
    4.9224    0.7507
    4.9347    0.9489
    4.9471    1.2519
    4.9595    1.4809
    4.9719    1.6645
    4.9843    1.7483
    4.9968    1.7318
    5.0093    1.6774
    5.0219    1.6331
    5.0344    1.6099
    5.0470    1.6693
    5.0597    1.7238
    5.0723    1.7700
    5.0850    1.6280
    5.0978    1.4399
    5.1105    1.2319
    5.1233    1.1114
    5.1361    1.1869
    5.1490    1.4339
    5.1619    1.8336
    5.1748    2.1253
    5.1878    2.3087
    5.2007    2.4114
    5.2138    2.4059
    5.2268    2.4390
    5.2399    2.3789
    5.2530    2.1587
    5.2662    1.8653
    5.2793    1.5428
    5.2926    1.4146
    5.3058    1.5131
    5.3191    1.7248
    5.3324    1.9429
    5.3458    2.0892
    5.3591    2.1874
    5.3725    2.1430
    5.3860    1.9826
    5.3995    1.7523
    5.4130    1.4281
    5.4265    1.0720
    5.4401    0.7307
    5.4537    0.4730
    5.4674    0.3256
    5.4811    0.2740
    5.4948    0.3479
    5.5086    0.5838
    5.5223    0.7026
    5.5362    0.9664
    5.5500    1.1388
    5.5639    1.2551
    5.5778    1.2416
    5.5918    0.8512
    5.6058    0.9287
    5.6198    1.0797
    5.6339    1.2912
    5.6480    1.4986
    5.6621    1.4730
    5.6763    1.5414
    5.6905    1.7553
    5.7048    2.0875
    5.7190    2.3499
    5.7334    2.4249
    5.7477    2.4145
    5.7621    2.3426
    5.7765    2.2848
    5.7910    2.2820
    5.8055    2.2475
    5.8200    2.2353
    5.8346    2.2112
    5.8492    2.2892
    5.8638    2.4347
    5.8785    2.6026
    5.8932    2.7052
    5.9080    2.6882
    5.9228    2.5873
    5.9376    2.6193
    5.9524    2.7932
    5.9673    3.1701
    5.9823    3.3911
    5.9973    3.4119
    6.0123    3.3043
    6.0273    3.2190
    6.0424    3.1801
    6.0575    3.1377
    6.0727    3.0990
    6.0879    2.9902
    6.1031    3.0228
    6.1184    3.0482
    6.1337    3.1318
    6.1491    3.2935
    6.1645    3.5876
    6.1799    4.0298
    6.1954    4.3776
    6.2109    4.6157
    6.2264    4.6804
    6.2420    4.5803
    6.2576    4.4256
    6.2733    4.2206
    6.2890    4.0889
    6.3047    3.9341
    6.3205    3.7667
    6.3363    3.6781
    6.3522    3.6106
    6.3681    3.4188
    6.3840    3.1832
    6.4000    2.8828
    6.4160    2.8371
    6.4321    2.8158
    6.4482    3.0943
    6.4643    3.4218
    6.4805    3.5508
    6.4967    3.4646
    6.5130    3.2913
    6.5293    3.1244
    6.5457    2.8754
    6.5620    2.9129
    6.5785    3.0010
    6.5949    3.1246
    6.6114    3.2139
    6.6280    3.2494
    6.6446    3.1789
    6.6612    3.1669
    6.6779    3.2770
    6.6946    3.4331
    6.7114    3.5500
    6.7282    3.5690
    6.7450    3.5703
    6.7619    3.4898
    6.7788    3.4471
    6.7958    3.3735
    6.8128    3.3221
    6.8298    3.3271
    6.8469    3.4421
    6.8641    3.7864
    6.8813    4.1322
    6.8985    4.3884
    6.9158    4.5559
    6.9331    4.6062
    6.9504    4.5486
    6.9678    4.3115
    6.9853    4.0404
    7.0027    3.6982
    7.0203    3.4460
    7.0378    3.4700
    7.0555    3.5196
    7.0731    3.5793
    7.0908    3.6838
    7.1086    3.7217
    7.1264    3.7729
    7.1442    3.8497
    7.1621    3.9146
    7.1800    4.0142
    7.1980    4.0867
    7.2160    4.1634
    7.2341    4.2175
    7.2522    4.3373
    7.2703    4.4778
    7.2885    4.5889
    7.3068    4.6569
    7.3251    4.7264
    7.3434    4.8273
    7.3618    4.9537
    7.3802    5.1158
    7.3987    5.2936
    7.4172    5.4800
    7.4358    5.7216
    7.4544    6.0621
    7.4730    6.3446
    7.4917    6.5145
    7.5105    6.5247
    7.5293    6.4718
    7.5481    6.3938
    7.5670    6.3637
    7.5860    6.3960
    7.6050    6.4250
    7.6240    6.4541
    7.6431    6.3461
    7.6622    6.6977
    7.6814    7.0021
    7.7006    6.8417
    7.7199    6.7475
    7.7392    6.6844
    7.7586    6.6846
    7.7780    6.7541
    7.7975    6.8070
    7.8170    6.8316
    7.8366    6.7724
    7.8562    6.6885
    7.8759    6.6203
    7.8956    6.5845
    7.9153    6.5512
    7.9351    6.4405
    7.9550    6.3453
    7.9749    6.3546
    7.9949    6.3617
    8.0149    6.3439
    8.0350    6.1902
    8.0551    5.9078
    8.0752    5.6331
    8.0954    5.4822
    8.1157    5.4850
    8.1360    5.5447
    8.1564    5.6143
    8.1768    5.6510
    8.1973    5.6129
    8.2178    5.5664
    8.2384    5.4853
    8.2590    5.3816
    8.2797    5.2865
    8.3004    5.2695
    8.3212    5.2821
    8.3420    5.3450
    8.3629    5.4237
    8.3838    5.5112
    8.4048    5.6167
    8.4258    5.8321
    8.4469    6.1208
    8.4681    6.3938
    8.4893    6.5875
    8.5105    6.5802
    8.5318    6.4604
    8.5532    6.2847
    8.5746    6.1489
    8.5960    6.1039
    8.6176    6.0907
    8.6391    6.0645
    8.6608    5.9474
    8.6824    5.6922
    8.7042    5.5367
    8.7260    5.4237
    8.7478    5.3970
    8.7697    5.4775
    8.7916    5.6450
    8.8137    5.7517
    8.8357    5.7051
    8.8578    5.5062
    8.8800    5.1761
    8.9022    4.8500
    8.9245    4.7465
    8.9469    4.8101
    8.9693    4.9623
    8.9917    5.1090
    9.0142    5.2149
    9.0368    5.2698
    9.0594    5.3238
    9.0821    5.3165
    9.1048    5.3206
    9.1276    5.3296
    9.1504    5.3067
    9.1733    5.2808
    9.1963    5.2761
    9.2193    5.2351
    9.2424    5.2800
    9.2655    5.3732
    9.2887    5.4756
    9.3120    5.5521
    9.3353    5.6486
    9.3587    5.6526
    9.3821    5.6567
    9.4056    5.6930
    9.4291    5.7911
    9.4527    5.8945
    9.4764    6.1053
    9.5001    6.1911
    9.5239    6.2544
    9.5477    6.2847
    9.5716    6.2948
    9.5956    6.2747
    9.6196    6.2847
    9.6437    6.3895
    9.6678    6.5182
    9.6920    6.6738
    9.7163    6.7614
    9.7406    6.7320
    9.7650    6.6333
    9.7894    6.5708
