      Wavelength  Flux
      microns     Jy
      2.36033    -0.653549
      2.36063    -0.499313
      2.36092    -0.346618
      2.36122    -0.237481
      2.36151    -0.223496
      2.36181    -0.237523
      2.36211    -0.271298
      2.36240    -0.305349
      2.36270    -0.351626
      2.36299    -0.404674
      2.36329    -0.444956
      2.36358    -0.468050
      2.36388    -0.412064
      2.36417    -0.202037
      2.36447    0.0851453
      2.36476     0.291646
      2.36506     0.337389
      2.36536     0.293779
      2.36565     0.212911
      2.36595     0.169592
      2.36624     0.197189
      2.36654     0.266231
      2.36683     0.334478
      2.36713     0.397693
      2.36743     0.440462
      2.36772     0.391149
      2.36802     0.194990
      2.36831   -0.0887727
      2.36861    -0.381132
      2.36891    -0.655839
      2.36920    -0.899032
      2.36950     -1.00857
      2.36979    -0.959327
      2.37009    -0.761333
      2.37039    -0.427646
      2.37068   -0.0636558
      2.37098     0.182015
      2.37128     0.193741
      2.37157   0.00565297
      2.37187    -0.296176
      2.37217    -0.510113
      2.37246    -0.519729
      2.37276    -0.334632
      2.37306    -0.116487
      2.37335   -0.0113525
      2.37365    0.0425808
      2.37395     0.124444
      2.37424     0.236265
      2.37454     0.308888
      2.37484     0.291889
      2.37513     0.211159
      2.37543     0.111174
      2.37573    0.0648594
      2.37602    0.0996148
      2.37632     0.183994
      2.37662     0.269989
      2.37691     0.341659
      2.37721     0.356693
      2.37751     0.294921
      2.37781     0.205560
      2.37810     0.177745
      2.37840     0.282598
      2.37870     0.427426
      2.37900     0.505133
      2.37929     0.516864
      2.37959     0.469252
      2.37989     0.391468
      2.38019     0.312024
      2.38048     0.251321
      2.38078     0.179965
      2.38108    0.0931237
      2.38138   -0.0198936
      2.38167    -0.174602
      2.38197    -0.249724
      2.38227    -0.158516
      2.38257    0.0663774
      2.38286     0.296260
      2.38316     0.429855
      2.38346     0.437198
      2.38376     0.340107
      2.38406     0.193728
      2.38435    0.0681818
      2.38465  -0.00477342
      2.38495   -0.0272291
      2.38525   -0.0352903
      2.38555   -0.0931346
      2.38584    -0.204356
      2.38614    -0.327260
      2.38644    -0.410316
      2.38674    -0.444859
      2.38704    -0.486105
      2.38734    -0.554925
      2.38763    -0.615927
      2.38793    -0.607847
      2.38823    -0.511877
      2.38853    -0.353293
      2.38883    -0.204671
      2.38913    -0.132858
      2.38943    -0.143303
      2.38972    -0.184750
      2.39002    -0.224934
      2.39032    -0.266264
      2.39062    -0.354079
      2.39092    -0.454020
      2.39122    -0.511401
      2.39152    -0.456301
      2.39182    -0.311378
      2.39212    -0.142033
      2.39242  -0.00671951
      2.39271    0.0379514
      2.39301    0.0202352
      2.39331   -0.0570795
      2.39361    -0.136325
      2.39391    -0.174531
      2.39421    -0.169572
      2.39451    -0.149531
      2.39481    -0.148700
      2.39511    -0.130148
      2.39541   -0.0879383
      2.39571   -0.0203106
      2.39601    0.0252378
      2.39631    0.0239676
      2.39661    0.0166313
      2.39690    0.0267031
      2.39720    0.0635636
      2.39750     0.106980
      2.39780     0.117063
      2.39810    0.0971344
      2.39840    0.0705763
      2.39870    0.0496404
      2.39900    0.0189965
      2.39930   -0.0479879
      2.39960    -0.133830
      2.39990    -0.194368
      2.40020    -0.142648
      2.40050    0.0162395
      2.40080     0.228169
      2.40110     0.409645
      2.40140     0.517386
      2.40170     0.562447
      2.40200     0.540416
      2.40230     0.472928
      2.40260     0.389958
      2.40290     0.324897
      2.40321     0.279575
      2.40351     0.217364
      2.40381     0.138758
      2.40411    0.0849824
      2.40441     0.108982
      2.40471     0.201475
      2.40501     0.337115
      2.40531     0.478671
      2.40561     0.611058
      2.40591     0.746422
      2.40621     0.888136
      2.40651     0.946205
      2.40681     0.858086
      2.40711     0.678535
      2.40741     0.500083
      2.40772     0.377181
      2.40802     0.279487
      2.40832     0.189709
      2.40862     0.134999
      2.40892     0.137021
      2.40922     0.172119
      2.40952     0.222609
      2.40982     0.264021
      2.41012     0.284365
      2.41043     0.277414
      2.41073     0.238682
      2.41103     0.151175
      2.41133    0.0369095
      2.41163   -0.0561784
      2.41193    -0.100733
      2.41223   -0.0644248
      2.41254    0.0434201
      2.41284     0.171629
      2.41314     0.256912
      2.41344     0.282231
      2.41374     0.259597
      2.41404     0.205625
      2.41435     0.136474
      2.41465    0.0842228
      2.41495    0.0579112
      2.41525    0.0520336
      2.41555    0.0456882
      2.41586    0.0301169
      2.41616 -0.000635455
      2.41646   -0.0297059
      2.41676   -0.0368264
      2.41706   -0.0602935
      2.41737    -0.131840
      2.41767    -0.220463
      2.41797    -0.258477
      2.41827    -0.228566
      2.41857    -0.155003
      2.41888   -0.0561777
      2.41918    0.0249431
      2.41948    0.0911520
      2.41978     0.142922
      2.42009     0.176299
      2.42039     0.185228
      2.42069     0.156781
      2.42099     0.111110
      2.42130    0.0827806
      2.42160    0.0884697
      2.42190     0.145912
      2.42220     0.267102
      2.42251     0.433470
      2.42281     0.594017
      2.42311     0.687412
      2.42342     0.706008
      2.42372     0.670429
      2.42402     0.593436
      2.42433     0.512811
      2.42463     0.474125
      2.42493     0.486236
      2.42523     0.512817
      2.42554     0.518184
      2.42584     0.507966
      2.42614     0.502506
      2.42645     0.538498
      2.42675     0.576603
      2.42705     0.591713
      2.42736     0.571462
      2.42766     0.509053
      2.42796     0.412779
      2.42827     0.298030
      2.42857     0.202086
      2.42888     0.132090
      2.42918    0.0929288
      2.42948    0.0851213
      2.42979    0.0821570
      2.43009    0.0596334
      2.43039    0.0132573
      2.43070   -0.0218028
      2.43100   -0.0131947
      2.43131    0.0152593
      2.43161    0.0250845
      2.43191   0.00918985
      2.43222  -0.00699919
      2.43252  -0.00941071
      2.43283  -0.00687203
      2.43313   -0.0196986
      2.43343   -0.0321688
      2.43374   -0.0148707
      2.43404   0.00149718
      2.43435   -0.0335782
      2.43465    -0.117898
      2.43496    -0.199965
      2.43526    -0.236641
      2.43556    -0.214556
      2.43587    -0.154720
      2.43617   -0.0812950
      2.43648    0.0108417
      2.43678     0.104120
      2.43709     0.173679
      2.43739     0.198305
      2.43770     0.167529
      2.43800     0.118769
      2.43831    0.0683482
      2.43861    0.0358475
      2.43892    0.0395758
      2.43922    0.0682630
      2.43952    0.0793708
      2.43983    0.0457896
      2.44013   -0.0227738
      2.44044    -0.104041
      2.44074    -0.167984
      2.44105    -0.198016
      2.44136    -0.191288
      2.44166    -0.164076
      2.44197    -0.112825
      2.44227   -0.0349454
      2.44258    0.0561900
      2.44288     0.129640
      2.44319     0.162160
      2.44349     0.139326
      2.44380    0.0784193
      2.44410    0.0236155
