# globalsourceid,aorkey,wavelength,fluxdensity,uncertainty,chunk
2000000080,22415360,8.78579,0.06960127,0.001772117,1
2000000080,22415360,8.84628,0.06987707,0.003983162,1
2000000080,22415360,8.90676,0.07061037,0.001844146,1
2000000080,22415360,8.96724,0.06729751,0.004109186,1
2000000080,22415360,9.02773,0.06811418,0.003550313,1
2000000080,22415360,9.08821,0.07105109,0.0009464243,1
2000000080,22415360,9.14869,0.0695957,0.005892561,1
2000000080,22415360,9.20918,0.07050797,0.001285861,1
2000000080,22415360,9.26966,0.07062431,0.0083335,1
2000000080,22415360,9.33015,0.06712811,0.002635698,1
2000000080,22415360,9.39063,0.06795786,0.002758366,1
2000000080,22415360,9.45111,0.06861106,0.00302502,1
2000000080,22415360,9.5116,0.0670168,0.0003524938,1
2000000080,22415360,9.57208,0.06978009,0.007023435,1
2000000080,22415360,9.63256,0.06860685,0.00474602,1
2000000080,22415360,9.69305,0.0690363,0.0001697259,1
2000000080,22415360,9.75353,0.06813588,0.004800576,1
2000000080,22415360,9.81401,0.06517204,0.001259705,1
2000000080,22415360,9.8745,0.06445802,0.002145095,1
2000000080,22415360,9.93498,0.06443297,0.006534495,1
2000000080,22415360,9.99547,0.05286182,0.007249691,1
2000000080,22415360,10.056,0.06119591,0.001277605,1
2000000080,22415360,10.1164,0.06545264,0.001078266,1
2000000080,22415360,10.1769,0.0667076,0.001423834,1
2000000080,22415360,10.2374,0.06636337,0.0006192119,1
2000000080,22415360,10.2979,0.06474245,0.0007127298,1
2000000080,22415360,10.3584,0.06642604,0.002020203,1
2000000080,22415360,10.4188,0.067605,0.004692276,1
2000000080,22415360,10.4793,0.06742911,0.004002991,1
2000000080,22415360,10.5398,0.06700888,0.002416107,1
2000000080,22415360,10.6003,0.06554075,0.004086296,1
2000000080,22415360,10.6608,0.07014921,0.004941795,1
2000000080,22415360,10.7213,0.06755783,0.005944813,1
2000000080,22415360,10.7817,0.07276256,0.001649594,1
2000000080,22415360,10.8422,0.06758473,0.001312537,1
2000000080,22415360,10.9027,0.06794531,0.003380288,1
2000000080,22415360,10.9632,0.06830288,0.00147489,1
2000000080,22415360,11.0237,0.07259817,0.00662049,1
2000000080,22415360,11.0842,0.0680254,0.005420131,1
2000000080,22415360,11.1447,0.07286702,0.001881159,1
2000000080,22415360,11.2051,0.06588736,0.002420886,1
2000000080,22415360,11.2656,0.06011818,0.002676943,1
2000000080,22415360,11.3261,0.06681414,0.003550946,1
2000000080,22415360,11.3866,0.06846327,0.001060947,1
2000000080,22415360,11.4471,0.07008097,0.001073553,1
