nu,fnu
299792457999.99976,5.725059596444562e-07
309139169783.9923,6.074181988867466e-07
318777286567.8171,6.444370999441925e-07
328715893565.17114,6.842245284424782e-07
338964359241.95416,7.259841902277777e-07
349532344147.2997,7.705140272826568e-07
360429810019.9345,8.178489557004123e-07
371667029178.44824,8.676919318043524e-07
383254594204.33,9.213278031981812e-07
395203427926.88855,9.774899823520756e-07
407524793719.48126,1.037519601086568e-06
420230306116.75195,1.1011801736525306e-06
433331941762.8778,1.1683615136614158e-06
446842050701.1603,1.2405199754182976e-06
460773368015.5945,1.3161259244091849e-06
475139025835.38464,1.3970502573903003e-06
489952565713.73047,1.4826670622450652e-06
505227951392.5597,1.5732334987605284e-06
520979581965.2125,1.670279482311773e-06
537222305449.5163,1.7720768352821917e-06
553971432784.0304,1.8811685426495126e-06
571242752260.6466,1.99631409088538e-06
589052544407.1686,2.1184054561295933e-06
607417597333.8892,2.2489225900041146e-06
626355222558.6218,2.3859845632957425e-06
645883271325.1255,2.5330475626064177e-06
666020151430.2899,2.6879060263429105e-06
686784844575.9407,2.852495355480705e-06
708196924261.6337,3.0280276996927775e-06
730276574235.2964,3.2125706475141358e-06
753044607519.1047,3.410821092937705e-06
776522486028.5479,3.6190890225104627e-06
800732340803.1421,3.840968665136858e-06
825696992867.9005,4.0770417304052736e-06
851439974745.2034,4.3255139878564794e-06
877985552637.339,4.592767855943931e-06
905358749300.6473,4.872865535256011e-06
933585367632.8192,5.171976477419495e-06
962692014995.5664,5.489470378083681e-06
992706128295.6252,5.824214842312759e-06
1023655999847.7072,6.184089616712302e-06
1055570804043.7872,6.560992857951103e-06
1088480624853.8721,6.9642167034648046e-06
1122416484184.162,7.391212888075784e-06
1157410371119.3428,7.842478656323487e-06
1193495272076.58,8.326474726888274e-06
1230705201899.6252,8.833944754448953e-06
1269075235922.3508,9.37751938511889e-06
1308641543031.948,9.951784271808322e-06
1349441419762.935,1.0560129951485344e-05
1391513325454.1282,1.1211056416151288e-05
1434896918501.7065,1.1894324130530369e-05
1479633093742.5623,1.2627100102973314e-05
1525764021003.1465,1.3399425274138758e-05
1573333184850.165,1.42195266107081e-05
1622385425580.604,1.5094957133674941e-05
1672966981489.7021,1.6014922296474076e-05
1725125532456.7207,1.700275257300245e-05
1778910244889.614,1.804144693696825e-05
1834371818070.937,1.914701037521335e-05
1891562531948.6963,2.0324375324377277e-05
1950536296417.1943,2.1563034551634814e-05
2011348702134.3188,2.2894691990844012e-05
2074057072923.1445,2.4291623196229944e-05
2138720519807.3374,2.5782009584154337e-05
2205399996731.1733,2.7365444369901864e-05
2274158358016.783,2.903337506764125e-05
2345060417612.763,3.082817272520162e-05
2418173010189.982,3.2707073183390355e-05
2493565054142.1895,3.4716226807464856e-05
2571307616550.8257,3.684578210283193e-05
2651473980175.246,3.909430522415198e-05
2734139712531.51,4.1508131745999746e-05
2819382737124.8804,4.403792077729846e-05
2907283406903.1465,4.6746406057591234e-05
2997924580000.0005,4.961043446460124e-05
3091391697839.9287,5.264164263980587e-05
3187772865678.1743,5.588799965209526e-05
3287158935651.715,5.929415786531375e-05
3389643592419.5425,6.294538526622978e-05
3495323441472.9946,6.679719991661257e-05
3604298100199.3433,7.088352790369979e-05
3716670291784.4873,7.524955237664399e-05
3832545942043.301,7.983567124206804e-05
3952034279268.8833,8.475777035558218e-05
4075247937194.8174,8.993804873984605e-05
4202303061167.52,9.544675653521205e-05
4333319417628.775,0.00010131861683835052
4468420507011.612,0.00010749345778691522
4607733680155.949,0.00011412876293682253
4751390258353.838,0.0001210956773553274
4899525657137.308,0.00012852185456650397
5052279513925.594,0.00013641890525077424
5209795819652.117,0.00014473283255675586
5372223054495.165,0.0001536776302389255
5539714327840.306,0.00016304736959609877
5712427522606.463,0.00017305842677931926
5890525444071.688,0.00018367914280567458
6074175973338.893,0.0001948828611369291
6263552225586.214,0.00020692130142847703
6458832713251.26,0.0002195325536163205
6660201514302.906,0.00023302819841994639
6867848445759.407,0.00024731195133084115
7081969242616.334,0.00026241556805337355
7302765742352.957,0.000278606079869751
7530446075191.05,0.00029558612069881105
7765224860285.4795,0.0003137792079906169
8007323408031.424,0.0003329893475775502
8256969928679.013,0.00035313371248017143
8514399747452.034,0.00037099563961606
8779855526373.391,0.00038955638150985967
9053587493006.492,0.0004108304663218816
9335853676328.201,0.00043451330712948887
9626920149955.668,0.00046084696738778023
9927061282956.256,0.0004900120386096583
10236559998477.066,0.0005215838569160655
10555708040437.865,0.0005562425394285322
10884806248538.73,0.0005931863292271214
11224164841841.623,0.000632770908755004
