wave,flux,error,filter
0.349,8.909E-01,2.465E-03,STRMGN_u
0.411,2.071E+00,5.729E-03,STRMGN_b
0.440,1.897E+00,1.403E-02,HIPPCS_B
0.467,2.989E+00,5.511E-03,STRMGR_v
0.546,3.669E+00,1.690E-03,STRMGR_y
0.550,3.499E+00,2.587E-02,HIPPCS_V
0.790,4.468E+00,4.134E-02,HIPPCS_I
1.235,4.139E+00,7.307E-02,2MASS__J
1.662,3.425E+00,7.333E-02,2MASS__H
2.159,2.383E+00,4.207E-02,2MASS_Ks
3.40,1.152E+00,1.217E-01,WISEBAND1
4.60,6.986E-01,2.421E-02,WISEBAND2
9.00,1.890E-01,1.346E-02,AKARI_IRC
12.0,1.143E-01,1.591E-03,WISEBAND3
13.0,9.576E-02,9.061E-03,SPTZ_IRSJ
22.0,3.477E-02,1.338E-03,WISEBAND4
24.0,2.873E-02,1.437E-03,SPTZ_MIPS
31.0,2.450E-02,7.294E-03,SPTZ_IRSJ
60.0,1.400E-01,2.600E-02,ISO_PHT60
70.0,1.412E-01,1.040E-02,SPTZ_MIPS
70.0,1.324E-01,8.400E-03,HRSL_PACS
90.0,1.590E-01,8.000E-03,ISO_PHT90
100.0,1.679E-01,8.400E-03,HRSL_PACS
160.0,1.118E-01,9.300E-03,HRSL_PACS
250.0,5.650E-02,1.030E-02,HRSL_SPRE
350.0,3.800E-02,1.470E-02,HRSL_SPRE
#500.0,2.100E-03,7.000E-03,HRSL_SPRE
880.0,1.070E-02,5.900E-03,APEX_LBCA
1300.0,2.000E-03,4.000E-04,ALMA_BND6
9000.0,4.200E-05,1.400E-05,ATCA__9MM
